State,District
Tamil Nadu,Tuticorin
Tamil Nadu,Villupuram
Telangana,Adilabad
Telangana,Bhadradri Kothagudem
Telangana,Hanumakonda
Telangana,Hyderabad
Telangana,Jagitial
Telangana,Jangoan
Telangana,Jayashankar Bhupalapally
Telangana,Jogulamba Gadwal
Telangana,Kamareddy
Telangana,Karimnagar
Telangana,Khammam
Telangana,Kumuram Bheem Asifabad
Telangana,Mahabubabad
Telangana,Mahabubnagar
Telangana,Mancherial
Telangana,Medak
Telangana,Medchal Malkajgiri
Telangana,Mulugu
Telangana,Nagarkurnool
Telangana,Nalgonda
Telangana,Narayanpet
Telangana,Nirmal
Telangana,Nizamabad
Telangana,Peddapalli
Telangana,Rajanna Sircilla
Telangana,Ranga Reddy
Telangana,Sangareddy
Telangana,Siddipet
Telangana,Suryapet
Telangana,Vikarabad
Telangana,Wanaparthy
Telangana,Warangal
Telangana,Yadadri Bhuvanagiri
The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli
The Dadra And Nagar Haveli And Daman And Diu,Daman
The Dadra And Nagar Haveli And Daman And Diu,Diu
Tripura,Gomati
Tripura,Khowai
Tripura,Sepahijala
Tripura,Unakoti
Uttar Pradesh,Amethi
Uttar Pradesh,Amroha
Uttar Pradesh,Ayodhya
Uttar Pradesh,Barabanki
Uttar Pradesh,Bhadohi
Uttar Pradesh,Hapur
Uttar Pradesh,Hathras
Uttar Pradesh,Kasganj
Uttar Pradesh,Kushi Nagar
Uttar Pradesh,Prayagraj
Uttar Pradesh,Sambhal
Uttar Pradesh,Shamli
Uttar Pradesh,Siddharth Nagar
Uttarakhand,Haridwar
Uttarakhand,Pauri Garhwal
Uttarakhand,Rudra Prayag
Uttarakhand,Udam Singh Nagar
Uttarakhand,Uttar Kashi
West Bengal,Alipurduar
West Bengal,Coochbehar
West Bengal,Darjeeling
West Bengal,Hooghly
West Bengal,Howrah
West Bengal,Jhargram
West Bengal,Kalimpong
West Bengal,Malda
West Bengal,North 24 Parganas
West Bengal,Paschim Bardhaman
West Bengal,Purba Bardhaman
West Bengal,Purulia
West Bengal,South 24 Parganas
