State,District
Uttar Pradesh,Bhadohi
Uttar Pradesh,Hapur
Uttar Pradesh,Hathras
Uttar Pradesh,Kasganj
Uttar Pradesh,Kushi Nagar
Uttar Pradesh,Prayagraj
Uttar Pradesh,Sambhal
Uttar Pradesh,Shamli
Uttar Pradesh,Siddharth Nagar
Uttar Pradesh,Unknown Districts Of India
Uttarakhand,Haridwar
Uttarakhand,Pauri Garhwal
Uttarakhand,Rudra Prayag
Uttarakhand,Udam Singh Nagar
Uttarakhand,Uttar Kashi
West Bengal,Alipurduar
West Bengal,Coochbehar
West Bengal,Darjeeling
West Bengal,Hooghly
West Bengal,Howrah
West Bengal,Jhargram
West Bengal,Kalimpong
West Bengal,Malda
West Bengal,North 24 Parganas
West Bengal,Paschim Bardhaman
West Bengal,Purba Bardhaman
West Bengal,Purulia
West Bengal,South 24 Parganas
